"url_stazione","url_sensore","id_parametro","data_inizio_sensore","data_fine_sensore","quota_da_pc","altezza_supporto","note_sensore","copy_url_stazione","codice_istat_comune","codice_stazione","denominazione","indirizzo_localita","nazione","longitudine_e_wgs84_d","latitudine_n_wgs84_d","quota_stazione","esposizione","note","tipo_staz","data_inizio","data_fine","sigla_prov","comune","fk_id_punto_misura_meteo"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004091-900-1988-02-04/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004091-900-000TERMA-1988-02-04/","TERMA","1988-02-04","2007-10-08","0.0","9.05","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004091-900-1988-02-04/","004090","106","MONTE MALANOTTE","MONTE MALANOTTE","ITALIA","7.79361","44.25944","1735","E","","PV","1988-02-04","","CN","FRABOSA SOPRANA","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004091-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004091-901-1997-10-14/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004091-901-000TERMA-1997-10-14/","TERMA","1997-10-14","","0.0","3.9","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004091-901-1997-10-14/","004090","310","BORELLO","BORELLO - CASE CANE","ITALIA","7.83306","44.22389","1005","E","","PT","1997-10-17","","CN","FRABOSA SOPRANA","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004091-901/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004095-901-1988-03-10/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004095-901-000TERMA-1988-03-10/","TERMA","1988-03-10","","0.0","8.9","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004095-901-1988-03-10/","004095","122","COLLE SAN BERNARDO","COLLE SAN BERNARDO","ITALIA","8.04806","44.17806","980","S","","HPRTV","1988-03-10","","CN","GARESSIO","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004095-901/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004095-902-1995-11-16/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004095-902-000TERMA-1995-11-16/","TERMA","1995-11-16","","0.0","3.75","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004095-902-1995-11-16/","004095","312","MONTE BERLINO","MONTE BERLINO","ITALIA","7.93333","44.205","1765","ESE","","HPT","1995-11-16","","CN","GARESSIO","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004095-902/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004099-900-2001-05-15/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004099-900-000TERMA-2001-05-15/","TERMA","2001-05-15","","0.0","3.0","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004099-900-2001-05-15/","004099","280","GOVONE","CASCINA CANOVA","ITALIA","8.11306","44.78694","145","NE","","PTW","2001-05-16","","CN","GOVONE","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004099-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004110-900-1988-10-19/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004110-900-000TERMA-1988-10-19/","TERMA","1988-10-19","2006-07-01","0.0","5.82","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004110-900-1988-10-19/","004110","009","LIMONE PANCANI","PANCANI","ITALIA","7.59528","44.1575","2008","WNW","","HNPTV","1988-10-19","2006-07-01","CN","LIMONE PIEMONTE","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004110-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004110-901-2006-10-05/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004110-901-000TERMA-2006-10-05/","TERMA","2006-10-05","","0.0","0.0","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004110-901-2006-10-05/","004110","S4613","LIMONE PANCANI","PANCANI","ITALIA","7.59","44.16083","1875","WNW","","HNPTV","2006-10-06","","CN","LIMONE PIEMONTE","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004110-901/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004115-900-1995-11-17/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004115-900-000TERMA-1995-11-17/","TERMA","1995-11-17","","0.0","3.05","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004115-900-1995-11-17/","004148","319","MANGO","CASCINA FONDA","ITALIA","8.14722","44.70806","425","NE","","HPT","1995-11-17","","CN","NEIVE","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004115-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004117-900-2005-04-07/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004117-900-000TERMA-2005-04-07/","TERMA","2005-04-07","","0.0","4.5","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004117-900-2005-04-07/","004117","S4148","MARENE","AREA ECOLOGICA","ITALIA","7.73194","44.66833","310","N","","PT","2008-01-01","","CN","MARENE","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004117-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004124-900-1988-07-27/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004124-900-000TERMA-1988-07-27/","TERMA","1988-07-27","","10.0","1.5","Sensore installato su torretta antistante cimitero","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004124-900-1988-07-27/","004124","116","MOMBARCARO","SAN MICHELE ARCANGELO","ITALIA","8.08556","44.46833","896","SSW","","HRTV","1988-07-27","","CN","MOMBARCARO","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004124-900/"
